score,pubdate,source,title,link
45,2025-07-10-16-08-00 +0000,wsj,"Businesses hoping for clarity on where Trump tariffs land will likely have to wait a bit longer. For now, here’s where things stand.",https://www.wsj.com/economy/trade/trump-tariffs-countries-goods-explained-b9878e1a
28,2025-07-10-22-35-57 +0000,nypost,NYC woman haunted by horrifying July 4th rape on Coney Island — where she says bystanders laughed and filmed ‘like it was a movie’,https://nypost.com/2025/07/10/us-news/nyc-woman-haunted-by-horrifying-july-4th-rape-on-coney-island-where-she-says-bystanders-laughed-and-filmed-like-it-was-a-movie/
22,2025-07-11-00-03-19 +0000,nypost,"Mayor Adams must implement controversial and costly City Council housing voucher plan, NY court rules",https://nypost.com/2025/07/10/us-news/mayor-adams-must-implement-costly-housing-voucher-plan-court-rules/
17,2025-07-11-00-45-44 +0000,nypost,"Search-and-rescue volunteers had to rely on sense of smell to find bodies in Texas flood debris, one reveals",https://nypost.com/2025/07/10/us-news/search-and-rescue-volunteers-had-to-rely-on-sense-of-smell-to-find-bodies-in-texas-flood-debris-one-reveals/
17,2025-07-10-23-49-13 +0000,nypost,Hakeem Jeffries’ team blasts Zohran Mamdani’s liberal ‘Team Gentrification’ as primary threats spark NYC Dem feud,https://nypost.com/2025/07/10/us-news/hakeem-jeffries-team-blasts-zohran-mamdanis-liberal-team-gentrification-as-primary-threats-spark-nyc-dem-feud/
17,2025-07-10-16-08-22 +0000,bbc,Russia's intensifying drone war is spreading fear and eroding Ukrainian morale,https://www.bbc.com/news/articles/c0m8gn7grn2o
17,2025-07-10-21-36-33 +0000,startribune,Mental health care is limited in rural Minnesota. It’s also most vulnerable to Medicaid cuts.,https://www.startribune.com/mental-health-care-is-limited-in-rural-minnesota-its-also-most-vulnerable-to-medicaid-cuts/601401555
16,2025-07-10-12-04-11 +0000,nyt,"Trump Pledges 50% Tariffs Against Brazil, Citing ‘Witch Hunt’ Against Bolsonaro",https://www.nytimes.com/2025/07/09/world/americas/brazil-trump-bolsonaro-lula-coup-tariff.html
16,2025-07-10-22-54-22 +0000,nypost,"Long Island’s alleged ghost gun kingpin arrested, over 100 firearms seized in Suffolk County’s biggest weapons bust ever",https://nypost.com/2025/07/10/us-news/long-islands-alleged-ghost-gun-kingpin-arrested-in-suffolk-countys-biggest-weapons-bust-ever/
15,2025-07-11-02-36-49 +0000,nyt,A Lethal Israeli Airstrike Hits Near a Gaza Aid Clinic,https://www.nytimes.com/2025/07/10/world/middleeast/israel-strike-gaza-clinic.html
