score,pubdate,source,title,link
44,2025-07-09-16-39-00 +0000,wsj,"Businesses hoping for clarity on where Trump tariffs land will likely have to wait a bit longer. For now, here’s where things stand.",https://www.wsj.com/economy/trade/trump-tariffs-countries-goods-explained-b9878e1a
21,2025-07-10-11-18-15 +0000,bbc,Armed police in Romania carry out raids linked to UK tax scam,https://www.bbc.com/news/articles/cp867gjmn25o
19,2025-07-09-19-48-23 +0000,nyt,Former President Yoon Suk Yeol of South Korea Is Arrested on New Charges,https://www.nytimes.com/2025/07/09/world/asia/south-korea-arrest-yoon-suk-yeol.html
16,2025-07-09-20-36-58 +0000,bbc,'Huge wall of water': Texas man stood on meter box to survive deadly floods,https://www.bbc.com/news/articles/c3358pz41d6o
16,2025-07-10-01-07-30 +0000,bbc,Trump threatens Brazil with 50% tariff and demands Bolsonaro's trial end,https://www.bbc.com/news/articles/c784ee81y4zo
16,2025-07-09-20-25-00 +0000,wsj,Minutes from the Fed’s June policy meeting tease at a looming split over whether and when officials will resume rate cuts,https://www.wsj.com/economy/central-banking/june-fed-minutes-inflation-interest-rates-4911925c
15,2025-07-09-19-53-45 +0000,bbc,Mortgage lending rules change could help first-time buyers,https://www.bbc.com/news/articles/cj0mny9pm2do
14,2025-07-10-07-47-23 +0000,bbc,"Get your act together, Post Office victims tell Starmer",https://www.bbc.com/news/articles/crk6r2615vzo
14,2025-07-09-17-00-33 +0000,bbc,Russia's summer push in Ukraine targets three fronts but faces stern resistance,https://www.bbc.com/news/articles/c70rl6lk2yxo
13,2025-07-10-08-07-40 +0000,bbc,Chris Mason: Migrant deal will be seen as failure if numbers don't fall,https://www.bbc.com/news/articles/cly8mk006kvo
